,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked_Q,Embarked_S
1,1,1,0,38.0,1,0,71.2833,False,False
3,1,1,0,35.0,1,0,53.1,False,True
6,0,1,1,54.0,0,0,51.8625,False,True
10,1,3,0,4.0,1,1,16.7,False,True
11,1,1,0,58.0,0,0,26.55,False,True
21,1,2,1,34.0,0,0,13.0,False,True
23,1,1,1,28.0,0,0,35.5,False,True
27,0,1,1,19.0,3,2,263.0,False,True
31,1,1,0,29.69911764705882,1,0,146.5208,False,False
52,1,1,0,49.0,1,0,76.7292,False,False
54,0,1,1,65.0,0,1,61.9792,False,False
55,1,1,1,29.69911764705882,0,0,35.5,False,True
62,0,1,1,45.0,1,0,83.475,False,True
66,1,2,0,29.0,0,0,10.5,False,True
75,0,3,1,25.0,0,0,7.65,False,True
88,1,1,0,23.0,3,2,263.0,False,True
92,0,1,1,46.0,1,0,61.175,False,True
96,0,1,1,71.0,0,0,34.6542,False,False
97,1,1,1,23.0,0,1,63.3583,False,False
102,0,1,1,21.0,0,1,77.2875,False,True
110,0,1,1,47.0,0,0,52.0,False,True
118,0,1,1,24.0,0,1,247.5208,False,False
123,1,2,0,32.5,0,0,13.0,False,True
124,0,1,1,54.0,0,1,77.2875,False,True
128,1,3,0,29.69911764705882,1,1,22.3583,False,False
136,1,1,0,19.0,0,2,26.2833,False,True
137,0,1,1,37.0,1,0,53.1,False,True
139,0,1,1,24.0,0,0,79.2,False,False
148,0,2,1,36.5,0,2,26.0,False,True
151,1,1,0,22.0,1,0,66.6,False,True
166,1,1,0,29.69911764705882,0,1,55.0,False,True
170,0,1,1,61.0,0,0,33.5,False,True
174,0,1,1,56.0,0,0,30.6958,False,False
177,0,1,0,50.0,0,0,28.7125,False,False
183,1,2,1,1.0,2,1,39.0,False,True
185,0,1,1,29.69911764705882,0,0,50.0,False,True
193,1,2,1,3.0,1,1,26.0,False,True
194,1,1,0,44.0,0,0,27.7208,False,False
195,1,1,0,58.0,0,0,146.5208,False,False
205,0,3,0,2.0,0,1,10.4625,False,True
209,1,1,1,40.0,0,0,31.0,False,False
215,1,1,0,31.0,1,0,113.275,False,False
218,1,1,0,32.0,0,0,76.2917,False,False
224,1,1,1,38.0,1,0,90.0,False,True
230,1,1,0,35.0,1,0,83.475,False,True
245,0,1,1,44.0,2,0,90.0,True,False
248,1,1,1,37.0,1,1,52.5542,False,True
251,0,3,0,29.0,1,1,10.4625,False,True
252,0,1,1,62.0,0,0,26.55,False,True
257,1,1,0,30.0,0,0,86.5,False,True
262,0,1,1,52.0,1,1,79.65,False,True
263,0,1,1,40.0,0,0,0.0,False,True
268,1,1,0,58.0,0,1,153.4625,False,True
269,1,1,0,35.0,0,0,135.6333,False,True
273,0,1,1,37.0,0,1,29.7,False,False
275,1,1,0,63.0,1,0,77.9583,False,True
284,0,1,1,29.69911764705882,0,0,26.0,False,True
291,1,1,0,19.0,1,0,91.0792,False,False
292,0,2,1,36.0,0,0,12.875,False,False
297,0,1,0,2.0,1,2,151.55,False,True
298,1,1,1,29.69911764705882,0,0,30.5,False,True
299,1,1,0,50.0,0,1,247.5208,False,False
303,1,2,0,29.69911764705882,0,0,12.35,True,False
305,1,1,1,0.92,1,2,151.55,False,True
307,1,1,0,17.0,1,0,108.9,False,False
309,1,1,0,30.0,0,0,56.9292,False,False
310,1,1,0,24.0,0,0,83.1583,False,False
311,1,1,0,18.0,2,2,262.375,False,False
318,1,1,0,31.0,0,2,164.8667,False,True
319,1,1,0,40.0,1,1,134.5,False,False
325,1,1,0,36.0,0,0,135.6333,False,False
327,1,2,0,36.0,0,0,13.0,False,True
329,1,1,0,16.0,0,1,57.9792,False,False
331,0,1,1,45.5,0,0,28.5,False,True
332,0,1,1,38.0,0,1,153.4625,False,True
336,0,1,1,29.0,1,0,66.6,False,True
337,1,1,0,41.0,0,0,134.5,False,False
339,0,1,1,45.0,0,0,35.5,False,True
340,1,2,1,2.0,1,1,26.0,False,True
341,1,1,0,24.0,3,2,263.0,False,True
345,1,2,0,24.0,0,0,13.0,False,True
351,0,1,1,29.69911764705882,0,0,35.0,False,True
356,1,1,0,22.0,0,1,55.0,False,True
366,1,1,0,60.0,1,0,75.25,False,False
369,1,1,0,24.0,0,0,69.3,False,False
370,1,1,1,25.0,1,0,55.4417,False,False
377,0,1,1,27.0,0,2,211.5,False,False
390,1,1,1,36.0,1,2,120.0,False,True
393,1,1,0,23.0,1,0,113.275,False,False
394,1,3,0,24.0,0,2,16.7,False,True
412,1,1,0,33.0,1,0,90.0,True,False
429,1,3,1,32.0,0,0,8.05,False,True
430,1,1,1,28.0,0,0,26.55,False,True
434,0,1,1,50.0,1,0,55.9,False,True
435,1,1,0,14.0,1,2,120.0,False,True
438,0,1,1,64.0,1,4,263.0,False,True
445,1,1,1,4.0,0,2,81.8583,False,True
449,1,1,1,52.0,0,0,30.5,False,True
452,0,1,1,30.0,0,0,27.75,False,False
453,1,1,1,49.0,1,0,89.1042,False,False
456,0,1,1,65.0,0,0,26.55,False,True
457,1,1,0,29.69911764705882,1,0,51.8625,False,True
460,1,1,1,48.0,0,0,26.55,False,True
462,0,1,1,47.0,0,0,38.5,False,True
473,1,2,0,23.0,0,0,13.7917,False,False
475,0,1,1,29.69911764705882,0,0,52.0,False,True
484,1,1,1,25.0,1,0,91.0792,False,False
486,1,1,0,35.0,1,0,90.0,False,True
487,0,1,1,58.0,0,0,29.7,False,False
492,0,1,1,55.0,0,0,30.5,False,True
496,1,1,0,54.0,1,0,78.2667,False,False
498,0,1,0,25.0,1,2,151.55,False,True
504,1,1,0,16.0,0,0,86.5,False,True
505,0,1,1,18.0,1,0,108.9,False,False
512,1,1,1,36.0,0,0,26.2875,False,True
515,0,1,1,47.0,0,0,34.0208,False,True
516,1,2,0,34.0,0,0,10.5,False,True
520,1,1,0,30.0,0,0,93.5,False,True
523,1,1,0,44.0,0,1,57.9792,False,False
527,0,1,1,29.69911764705882,0,0,221.7792,False,True
536,0,1,1,45.0,0,0,26.55,False,True
539,1,1,0,22.0,0,2,49.5,False,False
540,1,1,0,36.0,0,2,71.0,False,True
544,0,1,1,50.0,1,0,106.425,False,False
550,1,1,1,17.0,0,2,110.8833,False,False
556,1,1,0,48.0,1,0,39.6,False,False
558,1,1,0,39.0,1,1,79.65,False,True
571,1,1,0,53.0,2,0,51.4792,False,True
572,1,1,1,36.0,0,0,26.3875,False,True
577,1,1,0,39.0,1,0,55.9,False,True
581,1,1,0,39.0,1,1,110.8833,False,False
583,0,1,1,36.0,0,0,40.125,False,False
585,1,1,0,18.0,0,2,79.65,False,True
587,1,1,1,60.0,1,1,79.2,False,False
591,1,1,0,52.0,1,0,78.2667,False,False
599,1,1,1,49.0,1,0,56.9292,False,False
609,1,1,0,40.0,0,0,153.4625,False,True
618,1,2,0,4.0,2,1,39.0,False,True
621,1,1,1,42.0,1,0,52.5542,False,True
625,0,1,1,61.0,0,0,32.3208,False,True
627,1,1,0,21.0,0,0,77.9583,False,True
630,1,1,1,80.0,0,0,30.0,False,True
632,1,1,1,32.0,0,0,30.5,False,False
641,1,1,0,24.0,0,0,69.3,False,False
645,1,1,1,48.0,1,0,76.7292,False,False
647,1,1,1,56.0,0,0,35.5,False,False
659,0,1,1,58.0,0,2,113.275,False,False
662,0,1,1,47.0,0,0,25.5875,False,True
669,1,1,0,29.69911764705882,1,0,52.0,False,True
671,0,1,1,31.0,1,0,52.0,False,True
679,1,1,1,36.0,0,1,512.3292,False,False
681,1,1,1,27.0,0,0,76.7292,False,False
689,1,1,0,15.0,0,1,211.3375,False,True
690,1,1,1,31.0,1,0,57.0,False,True
698,0,1,1,49.0,1,1,110.8833,False,False
699,0,3,1,42.0,0,0,7.65,False,True
700,1,1,0,18.0,1,0,227.525,False,False
701,1,1,1,35.0,0,0,26.2875,False,True
707,1,1,1,42.0,0,0,26.2875,False,True
710,1,1,0,24.0,0,0,49.5042,False,False
711,0,1,1,29.69911764705882,0,0,26.55,False,True
712,1,1,1,48.0,1,0,52.0,False,True
715,0,3,1,19.0,0,0,7.65,False,True
716,1,1,0,38.0,0,0,227.525,False,False
717,1,2,0,27.0,0,0,10.5,False,True
724,1,1,1,27.0,1,0,53.1,False,True
730,1,1,0,29.0,0,0,211.3375,False,True
737,1,1,1,35.0,0,0,512.3292,False,False
740,1,1,1,29.69911764705882,0,0,30.0,False,True
741,0,1,1,36.0,1,0,78.85,False,True
742,1,1,0,21.0,2,2,262.375,False,False
745,0,1,1,70.0,1,1,71.0,False,True
748,0,1,1,19.0,1,0,53.1,False,True
751,1,3,1,6.0,0,1,12.475,False,True
759,1,1,0,33.0,0,0,86.5,False,True
763,1,1,0,36.0,1,2,120.0,False,True
765,1,1,0,51.0,1,0,77.9583,False,True
772,0,2,0,57.0,0,0,10.5,False,True
776,0,3,1,29.69911764705882,0,0,7.75,True,False
779,1,1,0,43.0,0,1,211.3375,False,True
781,1,1,0,17.0,1,0,57.0,False,True
782,0,1,1,29.0,0,0,30.0,False,True
789,0,1,1,46.0,0,0,79.2,False,False
796,1,1,0,49.0,0,0,25.9292,False,True
802,1,1,1,11.0,1,2,120.0,False,True
806,0,1,1,39.0,0,0,0.0,False,True
809,1,1,0,33.0,1,0,53.1,False,True
815,0,1,1,29.69911764705882,0,0,0.0,False,True
820,1,1,0,52.0,1,1,93.5,False,True
823,1,3,0,27.0,0,1,12.475,False,True
835,1,1,0,39.0,1,1,83.1583,False,False
839,1,1,1,29.69911764705882,0,0,29.7,False,False
849,1,1,0,29.69911764705882,1,0,89.1042,False,False
853,1,1,0,16.0,0,1,39.4,False,True
857,1,1,1,51.0,0,0,26.55,False,True
862,1,1,0,48.0,0,0,25.9292,False,True
867,0,1,1,31.0,0,0,50.4958,False,True
871,1,1,0,47.0,1,1,52.5542,False,True
